pl_name,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_orbeccen,pl_eqt,st_spectype,st_teff,st_rad,st_mass
AU Mic b,1,1,3,Transit,2020,8.46308,0.0649,3.957,0.353,,,0.00577,600,,3678.0,0.74,0.51
AU Mic c,1,1,3,Transit,2021,18.85969,0.1108,2.522,0.225,,,0.00338,459,,3678.0,0.74,0.51
AU Mic d,1,1,3,Transit Timing Variations,2023,12.73596,,,,1.053,0.00331,0.00305,,,3678.0,0.74,0.51
BD+03 2562 b,1,1,1,Radial Velocity,2017,481.9,1.3,,,,,0.2,,,4095.0,32.35,1.14
BD+14 4559 b,1,1,1,Radial Velocity,2009,268.94,0.78,,,,,0.29,,,4864.0,0.86,0.49
BD+15 2375 b,1,1,1,Radial Velocity,2016,153.22,0.576,,,,,0.001,,,4649.0,8.95,1.08
BD+15 2940 b,1,1,1,Radial Velocity,2013,137.48,0.539,,,,,0.26,,K0,4796.0,14.7,1.1
BD+20 2457 b,1,1,2,Radial Velocity,2009,379.63,1.45,,,,,0.15,,K2 II,4137.0,49.0,2.8
BD+20 2457 c,1,1,2,Radial Velocity,2009,621.99,2.01,,,,,0.18,,K2 II,4137.0,49.0,2.8
BD+20 274 b,1,1,1,Radial Velocity,2012,578.2,1.3,,,,,0.21,,K5 III,4296.0,17.3,0.8
BD+20 594 b,1,1,1,Transit,2016,41.6855,,2.578,0.23,22.2481,0.07,0.0,,,5766.0,1.08,1.67
BD+45 564 b,1,1,1,Radial Velocity,2021,307.88,0.83,,,,,0.12,,K1,5004.0,,0.81
BD+48 738 b,1,1,1,Radial Velocity,2011,392.6,1.0,,,,,0.2,,K0 III,4414.0,11.0,0.74
BD+48 740 b,1,1,1,Radial Velocity,2018,733.0,1.7,,,,,0.76,,,4534.0,10.33,1.09
BD+49 828 b,1,1,1,Radial Velocity,2015,2590.0,4.2,,,,,0.35,,K0,4943.0,7.6,1.52
BD+55 362 b,1,1,1,Radial Velocity,2021,265.59,0.78,,,,,0.27,,K3,5012.0,,0.91
BD+60 1417 b,1,1,1,Imaging,2021,,1662.0,14.684,1.31,4767.4261,15.0,,1303,K0,4993.0,0.8,1.0
BD+63 1405 b,1,1,1,Radial Velocity,2021,1198.48,2.06,,,,,0.88,,K0,5000.0,,0.82
BD-06 1339 b,1,1,2,Radial Velocity,2013,3.8728,0.0428,,,,,0.0,,K7/M0 V,4324.0,,0.7
BD-06 1339 c,1,1,2,Radial Velocity,2013,125.94,0.435,,,,,0.31,,K7/M0 V,4324.0,,0.7
BD-08 2823 b,1,1,2,Radial Velocity,2009,5.6,0.06,,,,,0.15,,,4816.0,0.71,0.5
BD-08 2823 c,1,1,2,Radial Velocity,2009,237.6,0.68,,,,,0.19,,K3 V,4746.0,,0.74
BD-10 3166 b,1,1,1,Radial Velocity,2000,3.48777,0.04,,,,,0.02,,,5393.0,0.91,1.47
BD-11 4672 b,1,1,2,Radial Velocity,2014,1634.0,2.36,,,,,0.05,,,4550.0,0.64,0.65
BD-11 4672 c,1,1,2,Radial Velocity,2020,74.2,0.3,,,,,0.4,,,4550.0,0.64,0.65
BD-13 2130 b,1,1,1,Radial Velocity,2007,714.29999,1.66,,,,,0.21,,,4545.0,19.17,2.12
BD-14 3065 b,1,3,1,Transit,2024,4.2889731,0.0656,21.59,1.926,3932.0,12.37,0.066,2001,,6935.0,2.35,1.41
BD-17 63 b,1,1,1,Radial Velocity,2008,655.57,,,,1639.99458,5.16,0.5439,,,,,0.74
BD-210397 b,1,1,2,Radial Velocity,2023,1891.0,2.63,,,,,0.1,,K7 V,4051.0,0.75,0.68
BD-210397 c,1,1,2,Radial Velocity,2023,6240.0,5.9,,,1525.57635,4.8,0.43,,K7 V,,,0.69
Barnard b,1,1,1,Radial Velocity,2024,3.1533,0.02294,,,,,0.16,400,M3.5-4 V,3195.0,0.18,0.16
CD Cet b,1,1,1,Radial Velocity,2020,2.2907,0.0185,,,,,,464,M5.0 V,3130.0,0.17,0.16
CFBDSIR J145829+101343 b,1,1,1,Imaging,2011,10037.5,2.6,,,3337.1,10.5,,370,,580.5,,0.02
CFHTWIR-Oph 98 b,1,1,1,Imaging,2021,8040000.0,200.0,20.849,1.86,2479.06157,7.8,,1800,M9-L1,2320.0,0.24,0.01
CHXR 73 b,1,1,1,Imaging,2006,,210.0,,,3994.486,12.569,,,M3.5,,,0.35
CI Tau c,1,1,1,Radial Velocity,2024,25.2,0.17,,,,,0.58,,,,,
COCONUTS-2 b,1,1,1,Imaging,2021,,,12.442,1.11,2542.62726,8.0,,,M3 V,3406.0,0.39,0.37
CT Cha b,1,1,1,Imaging,2007,,440.0,24.66,2.2,5403.0,17.0,,2600,,,,
CoRoT-1 b,1,1,1,Transit,2008,1.5089557,,16.7,1.49,327.35,1.03,0.0,1898,G0 V,5950.0,1.11,0.95
CoRoT-10 b,1,1,1,Transit,2010,13.2406,0.1055,10.87,0.97,874.0,2.75,0.53,600,K1 V,5075.0,0.79,0.89
CoRoT-11 b,1,1,1,Transit,2010,2.99433,0.0436,16.03,1.43,740.51,2.33,0.0,1657,F6 V,6440.0,1.37,1.27
CoRoT-12 b,1,1,1,Transit,2010,2.828042,0.04016,16.14,1.44,291.438,0.917,0.07,1442,,5675.0,1.12,1.08
CoRoT-13 b,1,1,1,Transit,2010,4.03519,0.051,9.92,0.885,415.704,1.308,0.0,1700,G0 V,5945.0,1.01,1.09
CoRoT-14 b,1,1,1,Transit,2010,1.51214,0.027,12.22,1.09,2415.4,7.6,0.0,1952,F9 V,6035.0,1.21,1.13
CoRoT-16 b,1,1,1,Transit,2011,5.35227,0.0618,13.11,1.17,170.032,0.535,0.33,,G5 V,5650.0,1.19,1.1
CoRoT-17 b,1,1,1,Transit,2011,3.7681,0.0461,11.43,1.02,772.29,2.43,0.0,1626,G2 V,5740.0,1.59,1.04
CoRoT-18 b,1,1,1,Transit,2011,1.9000693,0.0295,14.68,1.31,1102.82,3.47,0.08,1550,G9 V,5440.0,1.0,0.95
CoRoT-19 b,1,1,1,Transit,2011,3.89713,0.0518,14.46,1.29,352.78,1.11,0.047,2000,F9 V,6090.0,1.65,1.21
CoRoT-2 b,1,2,1,Transit,2008,1.7429935,0.02798,16.432,1.466,1102.82,3.47,0.0143,,,5625.0,0.91,0.96
CoRoT-20 b,1,1,2,Transit,2011,9.24285,0.09,,,1366.669,4.3,0.59,,,,,1.14
CoRoT-20 c,1,1,2,Radial Velocity,2018,1675.0,2.9,,,,,0.6,,,,,1.14
CoRoT-21 b,1,1,1,Transit,2012,2.72474,0.0417,14.572,1.3,718.2958,2.26,0.0,,F8 IV,6200.0,1.95,1.29
CoRoT-22 b,1,1,1,Transit,2014,9.75598,0.092,4.88,0.435,12.2,0.038,0.077,885,G3 V,5939.0,1.14,1.1
CoRoT-23 b,1,1,1,Transit,2011,3.6313,0.048,11.77,1.05,889.9,2.8,0.16,1660,G0 V,5900.0,1.61,1.14
CoRoT-24 b,1,1,2,Transit,2014,5.1134,0.056,3.7,0.33,5.7,0.018,0.0,1070,K1 V,4950.0,0.86,0.91
CoRoT-24 c,1,1,2,Transit,2014,11.759,0.098,5.0,0.44,28.0,0.088,0.0,850,K1 V,4950.0,0.86,0.91
CoRoT-25 b,1,1,1,Transit,2013,4.86069,0.0578,12.11,1.08,85.81,0.27,0.0,1330,F9,6040.0,1.19,1.09
CoRoT-26 b,1,1,1,Transit,2013,4.20474,0.0526,14.12,1.26,165.26,0.52,0.0,1600,G5,5590.0,1.79,1.09
CoRoT-27 b,1,1,1,Transit,2014,3.57532,0.0476,11.287,1.007,3302.11,10.39,0.065,1500,G2,5900.0,1.08,1.05
CoRoT-28 b,1,1,1,Transit,2015,5.20851,0.0603,10.705,0.955,153.82972,0.484,0.047,,G8/9 IV,5150.0,1.78,1.01
CoRoT-29 b,1,1,1,Transit,2015,2.85057,0.0386,10.088,0.9,270.1555,0.85,0.082,,K0 V,5260.0,0.9,0.97
CoRoT-3 b,1,1,1,Transit,2008,4.2568,,11.32,1.01,6883.91,21.66,0.0,,F3 V,6740.0,1.56,1.37
CoRoT-30 b,1,1,1,Transit,2020,9.06005,0.0844,11.31,1.009,921.707,2.9,0.007,,G3 V,5650.0,0.91,0.98
CoRoT-31 b,1,1,1,Transit,2020,4.62941,0.0586,16.365,1.46,266.9772,0.84,0.02,,G2 IV,5700.0,2.15,1.25
CoRoT-35 b,1,1,1,Transit,2022,3.22748,0.0429,18.831,1.68,349.61125,1.1,0.0,1747,F6 V,6390.0,1.65,1.01
CoRoT-36 b,1,1,1,Transit,2022,5.616531,0.066,15.805,1.41,216.12332,0.68,0.0,1567,F3 V,6730.0,1.52,1.32
CoRoT-4 b,1,1,1,Transit,2008,9.20205,0.09,13.34,1.19,228.83,0.72,0.0,1074,,6190.0,1.17,1.16
CoRoT-5 b,1,1,1,Transit,2009,4.0378962,0.04947,15.558,1.388,148.42,0.467,0.09,1438,F9 V,6100.0,1.19,1.0
CoRoT-6 b,1,1,1,Transit,2009,8.886593,0.0855,13.068,1.166,940.74,2.96,0.1,1017,F9 V,6090.0,1.02,1.05
CoRoT-7 b,1,1,3,Transit,2009,0.85359163,,1.681,0.15,4.07661,0.01283,0.0,,,5275.0,0.83,0.82
CoRoT-7 c,1,1,3,Radial Velocity,2009,3.698,0.046,,,8.4,0.02643,0.0,,,5256.0,0.86,0.9
CoRoT-7 d,1,1,3,Radial Velocity,2022,8.966,,,,17.142,0.05393,,,G9 V,5250.0,,0.92
CoRoT-8 b,1,1,1,Transit,2010,6.21229,0.063,6.39,0.57,69.92,0.22,0.0,,K1 V,5080.0,0.77,0.88
CoRoT-9 b,1,2,1,Transit,2009,95.272656,0.4021,11.949,1.066,266.9772,0.84,0.133,420,,5625.0,0.96,0.96
CoRoTID 223977153 b,1,1,1,Transit,2017,6.71837,0.071,6.389,0.57,47.6745,0.15,,938,G0 VI,5970.0,0.79,1.08
DE CVn b,1,2,1,Eclipse Timing Variations,2018,4098.1,5.75,,,,,0.0,,,,,0.51
DENIS-P J082303.1-491201 b,1,1,1,Astrometry,2013,246.36,0.36,,,9057.77,28.5,0.345,,L1.5,,,0.07
DH Tau b,1,1,1,Imaging,2004,,330.0,,,3496.0,11.0,,,M0.5,,0.27,0.33
DMPP-1 b,1,1,4,Radial Velocity,2019,18.57,0.1462,,,,,0.083,877,F8 V,6196.0,1.26,1.21
DMPP-1 c,1,1,4,Radial Velocity,2019,6.584,0.0733,,,,,0.057,1239,F8 V,6196.0,1.26,1.21
DMPP-1 d,1,1,4,Radial Velocity,2019,2.882,0.0422,,,,,0.07,1632,F8 V,6196.0,1.26,1.21
DMPP-1 e,1,1,4,Radial Velocity,2019,5.516,0.0651,,,,,0.07,1314,F8 V,6196.0,1.26,1.21
DMPP-2 b,1,1,1,Radial Velocity,2019,5.2072,0.0664,,,,,0.078,1000,F5 V,6500.0,1.78,1.44
DMPP-3 A b,1,2,1,Radial Velocity,2019,6.6732,0.0662,,,,,0.14,854,K0 V,5138.0,0.91,0.87
DMPP-4 b,1,1,1,Radial Velocity,2023,3.4982,0.04853,,,,,0.063,,F5-F8 V,6400.0,1.38,1.25
DP Leo b,1,2,1,Eclipse Timing Variations,2009,10220.0,8.19,,,,,0.39,,,,,0.69
DS Tuc A b,1,2,1,Transit,2019,8.138268,,5.7,0.509,,,0.0,850,G6 V,5428.0,0.96,1.01
EPIC 201170410.02,1,1,1,Transit,2020,6.7987,0.0349,1.047,0.093,,,0.0,,,3648.0,0.28,0.29
EPIC 201238110 b,1,1,1,Transit,2019,28.1656,,1.87,0.167,,,,,,,,0.41
EPIC 201427007 b,1,1,1,Transit,2021,0.72091,,1.5,0.134,,,,,,5633.0,0.94,
EPIC 201497682 b,1,1,1,Transit,2019,2.13174,,0.692,0.062,,,,,,,,0.78
EPIC 201595106 b,1,1,1,Transit,2021,0.877214,,1.3,0.116,,,,,,5820.0,0.93,
EPIC 201615463 c,1,1,2,Transit,2019,3.80464,,1.22,0.109,,,,,,,,1.07
EPIC 201754305 d,1,1,3,Transit,2019,2.71578,,1.03,0.092,,,,,,,,0.67
EPIC 201757695.02,1,1,1,Transit,2020,2.0478,0.0296,0.908,0.081,,,0.0,,,4520.0,0.66,0.73
EPIC 201833600 c,1,1,2,Transit,2019,3.96151,,1.0,0.089,,,,,,,,0.61
EPIC 201841433 b,1,1,1,Transit,2019,4.1698,0.035,1.04,0.093,,,,,,5053.0,0.63,0.8
EPIC 205950854 c,1,1,2,Transit,2019,8.050722,,1.31,0.117,,,,961,,5502.7,0.83,0.88
EPIC 206024342 b,1,1,3,Transit,2019,4.50756,,1.7,0.152,,,,,,,,0.93
EPIC 206024342 c,1,1,3,Transit,2021,0.911724,,1.4,0.125,,,,,,5724.0,1.1,
EPIC 206024342 d,1,1,3,Transit,2021,14.647531,,2.6,0.232,,,,,,5724.0,1.1,
EPIC 206032309 b,1,1,1,Transit,2019,2.87814,,1.01,0.09,,,,,,,,0.22
EPIC 206042996 b,1,1,2,Transit,2019,5.2986,,1.7,0.152,,,,,,4114.0,0.5,
EPIC 206042996 c,1,1,2,Transit,2021,0.354884,,1.2,0.107,,,,,,4114.0,0.5,
EPIC 206215704 b,1,1,1,Transit,2019,2.255436,,1.0,0.089,,,,,,3297.0,0.25,
EPIC 206317286 b,1,1,2,Transit,2019,1.58252,,0.96,0.086,,,,,,,,0.71
EPIC 206317286 c,1,1,2,Transit,2022,17.515472,,2.094,0.187,,,,,,4752.0,0.76,0.83
EPIC 211822797 b,1,1,1,Transit,2016,21.1701963,0.1195,1.92,0.171,,,,431,,4057.0,0.58,0.62
EPIC 211945201 b,1,1,1,Transit,2018,19.49221,0.1493,5.76,0.514,,,,817,,6069.0,1.39,1.17
EPIC 212297394 b,1,1,2,Transit,2019,2.289363,,1.48,0.132,,,,1149,,5171.0,0.8,0.83
EPIC 212297394 c,1,1,2,Transit,2021,5.213965,,2.27,0.203,,,,866,,5171.0,0.8,0.83
EPIC 212424622 b,1,1,1,Transit,2019,18.0983,,2.17,0.194,,,,,,,,1.11
EPIC 212499991 b,1,1,1,Transit,2019,34.885,,1.6,0.143,,,,,,,,0.91
EPIC 212587672 b,1,1,2,Transit,2019,15.28078,,1.26,0.112,,,,756,,6004.0,0.98,0.99
EPIC 212587672 c,1,1,2,Transit,2021,23.228555,,2.32,0.207,,,,658,,6004.0,0.98,0.99
EPIC 212624936 b,1,1,2,Transit,2021,0.578657,,1.2,0.107,,,,,,5765.0,0.93,
EPIC 212624936 c,1,1,2,Transit,2021,11.811437,,2.3,0.205,,,,,,5765.0,0.93,
EPIC 212737443 b,1,1,2,Transit,2019,13.603,0.098,2.586,0.231,,,0.2,536,K3,4684.0,0.67,0.69
EPIC 212737443 c,1,1,2,Transit,2019,65.55,0.28,2.69,0.24,,,0.2,316,K3,4684.0,0.67,0.69
EPIC 220492298 b,1,1,1,Transit,2021,0.762406,,0.99,0.088,,,,,,5620.0,0.89,
EPIC 220554210 c,1,1,2,Transit,2019,0.70531,,1.6,0.143,,,,,,5499.0,1.0,
EPIC 220674823 b,1,1,2,Transit,2016,0.571292,0.01326,1.725,0.154,8.21,0.02583,0.0,2300,,5532.0,0.99,0.95
EPIC 220674823 c,1,1,2,Transit,2016,13.3397,0.1083,2.836,0.253,8.9,0.028,0.13,805,,5532.0,0.99,0.95
