pl_name,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_orbeccen,pl_eqt,st_spectype,st_teff,st_rad,st_mass
HD 67087 c,1,1,2,Radial Velocity,2015,2374.0,3.86,,,,,0.76,,F8 V,6330.0,1.55,1.36
HD 6718 b,1,1,1,Radial Velocity,2009,2496.0,3.55,,,,,0.1,,,5801.0,0.95,1.08
HD 68402 b,1,1,1,Radial Velocity,2016,1103.0,2.18,,,,,0.03,,G5 IV/V,5950.0,1.02,1.12
HD 6860 b,1,1,1,Radial Velocity,2023,663.87,2.03,,,,,0.28,,M0 III,3802.0,86.4,2.49
HD 68988 b,1,1,2,Radial Velocity,2001,6.27711,0.07,,,,,0.12,,,5932.0,1.19,1.28
HD 68988 c,1,1,2,Radial Velocity,2021,16000.0,13.2,,,,,0.45,,,5883.41,1.26,1.17
HD 69123 b,1,1,1,Radial Velocity,2022,1193.3,2.482,,,,,0.19,,K1 III,4842.0,7.72,1.68
HD 69830 b,1,1,3,Radial Velocity,2006,8.667,0.0785,,,,,0.1,,,5385.0,,0.86
HD 69830 c,1,1,3,Radial Velocity,2006,31.56,0.186,,,,,0.13,,,5385.0,,0.86
HD 69830 d,1,1,3,Radial Velocity,2006,197.0,0.63,,,,,0.07,,,5385.0,,0.86
HD 70573 b,1,1,1,Radial Velocity,2007,851.8,1.76,,,,,0.4,,G1-1.5 V,5737.0,,1.0
HD 70642 b,1,1,1,Radial Velocity,2003,2124.54,3.318,,,,,0.175,,,5732.0,0.98,1.08
HD 7199 b,1,1,1,Radial Velocity,2011,615.0,1.36,,,,,0.19,,,5371.0,0.97,0.77
HD 72490 b,1,1,1,Radial Velocity,2018,858.0,1.88,,,,,0.124,,,4934.0,4.96,1.21
HD 72659 b,1,1,2,Radial Velocity,2002,3549.39854,4.691,,,949.67128,2.988,0.257,,,,,1.09
HD 72659 c,1,1,2,Radial Velocity,2022,18207.72098,13.959,,,5977.08102,18.806,0.091,,,,,1.09
HD 72892 b,1,1,1,Radial Velocity,2016,39.44603,0.228,,,,,0.419,,,,,1.01
HD 73256 c,1,1,1,Radial Velocity,2023,2690.0,3.8,,,5085.25451,16.0,0.16,,G8 IV,,,1.0
HD 73267 b,1,1,2,Radial Velocity,2008,1257.99159,2.229,,,1321.53052,4.158,0.261,,,,,0.93
HD 73267 c,1,1,2,Radial Velocity,2022,17071.78045,12.688,,,1630.77756,5.131,0.089,,,,,0.93
HD 73344 b,1,1,1,Transit,2024,15.611,0.131,2.884,0.257,10.48,0.03297,0.03,911,F6 V,6252.6,1.22,1.2
HD 73526 b,1,1,2,Radial Velocity,2002,188.3,0.65,,,,,0.19,,,5601.0,1.53,1.14
HD 73526 c,1,1,2,Radial Velocity,2005,379.1,1.03,,,,,0.28,,,,,1.01
HD 73534 b,1,1,1,Radial Velocity,2008,1750.0,2.99,,,,,0.126,,,4917.0,2.58,1.16
HD 73583 b,1,1,2,Transit,2022,6.398042,0.0604,2.79,0.249,10.2,0.03209,0.09,714,K4 V,4511.0,0.65,0.73
HD 73583 c,1,1,2,Transit,2022,18.87974,0.1242,2.39,0.213,9.7,0.03052,0.08,498,K4 V,4511.0,0.65,0.73
HD 74156 b,1,1,2,Radial Velocity,2003,51.63564,0.28,,,,,0.636,,,,,1.1
HD 74156 c,1,1,2,Radial Velocity,2003,2448.48726,3.678,,,2753.98315,8.665,0.377,,,,,1.1
HD 7449 b,1,2,1,Radial Velocity,2011,1270.55195,2.438,,,2597.9294,8.174,0.752,,,,,1.2
HD 74698 b,1,1,2,Radial Velocity,2023,15.017,0.121,,,,,0.1,,G5 V,5783.0,1.33,1.04
HD 74698 c,1,1,2,Radial Velocity,2023,3449.0,4.5,,,,,0.2,,G5 V,5783.0,1.33,1.04
HD 75289 b,1,2,1,Radial Velocity,1999,3.50927,0.05,,,,,0.03,,,6117.0,1.23,1.29
HD 75302 b,1,1,1,Radial Velocity,2023,4356.0,5.3,,,1716.2734,5.4,0.39,,G5 V,,,1.06
HD 75784 b,1,1,2,Radial Velocity,2014,341.2,1.032,,,,,0.097,,,4867.0,3.4,1.26
HD 75784 c,1,1,2,Radial Velocity,2018,7900.0,8.4,,,,,0.489,,,4867.0,3.4,1.26
HD 75898 b,1,1,2,Radial Velocity,2007,422.82,1.2025,,,,,0.105,,F8 V,6122.0,,1.29
HD 75898 c,1,1,2,Radial Velocity,2024,6717.0,7.39,,,2698.36318,8.49,0.08,,F8 V,6122.0,,1.29
HD 76700 b,1,1,1,Radial Velocity,2002,3.97097,0.05,,,,,0.09,,,5644.0,1.37,0.99
HD 76920 b,1,1,1,Radial Velocity,2017,415.891,1.091,,,,,0.8782,,,4664.0,8.33,1.0
HD 77338 b,1,1,1,Radial Velocity,2012,5.7361,0.06,,,,,0.09,,,5341.0,0.97,1.37
HD 77946 b,1,1,1,Transit,2024,6.527363,0.073,2.896,0.258,10.9,0.0343,0.211,1129,,6007.0,1.32,1.2
HD 79181 b,1,1,1,Radial Velocity,2021,273.1,0.9,,,,,0.259,,G8 III,4862.0,11.06,1.28
HD 7924 b,1,1,3,Radial Velocity,2008,5.39792,0.06,,,,,0.06,,,5131.0,0.78,0.65
HD 7924 c,1,1,3,Radial Velocity,2015,15.299,0.1134,,,,,0.098,584,K0.5 V,5075.0,0.78,0.83
HD 7924 d,1,1,3,Radial Velocity,2015,24.451,0.1551,,,,,0.21,499,K0.5 V,5075.0,0.78,0.83
HD 79498 b,1,2,1,Radial Velocity,2011,1807.0,2.98,,,,,0.575,,G5,5748.0,1.05,1.08
HD 80606 b,1,2,1,Radial Velocity,2001,111.4367,,11.994,1.07,1392.0954,4.38,0.93,,,5561.0,1.04,1.15
HD 80653 b,1,1,2,Transit,2020,0.719573,0.01661,1.613,0.144,5.72,0.018,0.0,2463,,5959.0,1.22,1.18
HD 80869 b,1,1,1,Radial Velocity,2021,1752.92067,2.905,,,1609.80088,5.065,0.924,,,,,1.06
HD 80883 b,1,1,1,Radial Velocity,2022,6383.78352,6.462,,,1748.05624,5.5,0.203,,,,,0.88
HD 80913 b,1,1,1,Radial Velocity,2022,10839.83341,9.95,,,7505.2,23.614,0.313,,,,,1.11
HD 81040 b,1,1,1,Radial Velocity,2005,1004.7,,,,2393.2479,7.53,0.527,,,,,0.96
HD 81688 b,1,1,1,Radial Velocity,2007,183.93,0.648,,,,,0.04,,K0 III-IV,4797.0,11.13,1.07
HD 81817 b,1,1,2,Radial Velocity,2020,1021.20159,3.233,,,7668.5638,24.128,0.097,,,,,4.3
HD 81817 c,1,1,2,Radial Velocity,2022,622.97802,2.325,,,,,0.095,,,,,4.3
HD 82886 b,1,1,1,Radial Velocity,2011,705.0,1.58,,,,,0.07,,,4953.0,5.26,2.53
HD 82943 b,1,1,2,Radial Velocity,2003,441.47,1.18306,,,534.25,1.681,0.162,,,5935.0,1.18,1.08
HD 82943 c,1,1,2,Radial Velocity,2003,220.078,0.74345,,,622.603,1.959,0.3663,,,5935.0,1.18,1.08
HD 8326 b,1,1,1,Radial Velocity,2019,158.991,0.533,,,,,0.2,,K2 V,4914.0,,0.8
HD 83443 b,1,1,2,Radial Velocity,2002,2.985628,0.0406,,,,,0.012,,K0 V,5442.0,0.94,1.0
HD 83443 c,1,1,2,Radial Velocity,2022,8241.0,8.0,,,476.74261,1.5,0.76,,K0 V,5442.0,0.94,1.0
HD 8535 b,1,2,1,Radial Velocity,2010,1313.0,2.45,,,,,0.15,,G0 V,6136.0,1.19,1.13
HD 85390 b,1,1,1,Radial Velocity,2009,799.52,1.373,,,,,0.5,,,5186.0,,0.76
HD 8574 b,1,1,1,Radial Velocity,2002,227.0,0.76,,,,,0.3,,,6064.0,1.38,1.34
HD 86065 b,1,1,1,Radial Velocity,2022,25775.78859,15.947,,,2877.30057,9.053,0.219,,,,,0.81
HD 86081 b,1,2,1,Radial Velocity,2006,2.1378431,0.0346,,,,,0.0119,,F8,5939.0,1.46,1.21
HD 86226 b,1,1,2,Radial Velocity,2009,1628.0,2.73,,,143.0235,0.45,0.059,176,G1 V,5863.0,1.05,1.02
HD 86226 c,1,1,2,Transit,2020,3.98442,0.049,2.16,0.193,7.25,0.02281,0.075,1311,G1 V,5863.0,1.05,1.02
HD 86264 b,1,1,1,Radial Velocity,2009,1488.79123,2.763,,,3117.26102,9.808,0.821,,,,,1.26
HD 86728 b,1,1,1,Radial Velocity,2025,31.1515,0.1916,,,,,0.067,,,5610.0,1.24,0.97
HD 8673 b,1,2,1,Radial Velocity,2009,1644.69097,2.97,,,4210.59074,13.248,0.73,,,,,1.28
HD 86950 b,1,1,1,Radial Velocity,2016,1270.0,2.72,,,,,0.17,,K1 III,4805.0,8.8,1.66
HD 87646 b,1,3,1,Radial Velocity,2016,13.481,0.117,,,,,0.05,,G,5770.0,1.55,1.12
HD 87883 b,1,1,1,Radial Velocity,2009,3309.22118,4.055,,,1719.13385,5.409,0.707,,,,,0.81
HD 88072 b,1,1,1,Radial Velocity,2022,18538.79293,13.895,,,2511.7979,7.903,0.156,,,,,1.04
HD 88133 b,1,1,1,Radial Velocity,2004,3.414884,0.0479,,,,,0.031,,,5392.0,2.2,1.26
HD 88986 b,1,1,1,Radial Velocity,2023,146.05,0.58,2.49,0.222,17.2,0.05412,0.24,460,G2 V,5861.0,1.54,1.25
HD 89307 b,1,1,1,Radial Velocity,2009,2166.0,3.27,,,,,0.2,,,5955.0,1.1,1.27
HD 89345 b,1,1,1,Transit,2018,11.8143,0.1066,7.398,0.66,34.9613,0.11,0.22,1089,,5576.0,1.75,1.16
HD 89744 b,1,2,1,Radial Velocity,1999,256.78,0.917,,,,,0.677,,,6291.0,,1.86
HD 89839 b,1,1,1,Radial Velocity,2023,3441.0,4.761,,,1592.32032,5.01,0.187,,F7 V,6314.0,,1.21
HD 90156 b,1,1,1,Radial Velocity,2009,49.77,0.25,,,,,0.31,,,5599.0,,0.84
HD 9174 b,1,1,1,Radial Velocity,2016,1179.0,2.2,,,,,0.12,,G8 IV,5577.0,1.67,1.03
HD 92788 b,1,1,2,Radial Velocity,2000,325.803,0.97,,,,,0.35,,G6 V,5744.0,1.14,1.15
HD 92788 c,1,1,2,Radial Velocity,2019,11611.2975,10.5,,,,,0.46,,G6 V,5744.0,1.14,1.15
HD 93083 b,1,1,1,Radial Velocity,2005,143.58,0.477,,,,,0.14,,K3 V,4995.0,,0.7
HD 93351 b,1,1,2,Radial Velocity,2022,2.45946,0.035,,,,,0.549,,,,,0.94
HD 93351 c,1,1,2,Radial Velocity,2022,14010.2941,11.154,,,4154.01728,13.07,0.109,,,,,0.94
HD 93385 b,1,1,3,Radial Velocity,2021,7.3426,0.0756,,,,,0.295,,G2/G3 V,5977.0,,1.04
HD 93385 c,1,1,3,Radial Velocity,2021,13.18,0.112,,,,,0.2,,G2/G3 V,5977.0,,1.04
HD 93385 d,1,1,3,Radial Velocity,2021,45.85,0.2565,,,,,0.09,,G2/G3 V,5977.0,,1.04
HD 93963 A b,1,2,2,Transit,2022,1.0376109,0.02061,1.47,0.131,2.8,0.00881,0.0,1842,,5908.0,1.03,1.08
HD 93963 A c,1,2,2,Transit,2022,3.6451389,0.04726,3.12,0.278,18.4,0.05789,0.0,1212,,5908.0,1.03,1.08
HD 9446 b,1,1,2,Radial Velocity,2009,30.052,0.189,,,,,0.2,,G5 V,5793.0,1.0,1.0
HD 9446 c,1,1,2,Radial Velocity,2009,192.9,0.654,,,,,0.06,,G5 V,5793.0,1.0,1.0
HD 94771 b,1,1,1,Radial Velocity,2023,2164.0,3.48,,,,,0.39,,G3/G5 V,5631.0,1.9,1.2
HD 94834 b,1,1,1,Radial Velocity,2018,1576.0,2.74,,,,,0.14,,,4798.0,4.2,1.11
HD 95086 b,1,1,1,Imaging,2013,,55.7,,,1589.0,5.0,,1000,,,,1.6
HD 95089 b,1,1,2,Radial Velocity,2009,464.4,1.36,,,,,0.119,,,4918.0,5.08,1.54
HD 95089 c,1,1,2,Radial Velocity,2018,1785.0,3.33,,,,,0.284,,,4918.0,5.08,1.54
HD 95127 b,1,1,1,Radial Velocity,2015,482.0,1.28,,,,,0.11,,,4218.0,41.01,3.7
HD 95338 b,1,1,1,Radial Velocity,2020,55.087,0.262,3.89,0.347,42.44,0.13353,0.197,385,K0.5 V,5212.0,0.87,0.83
HD 95544 b,1,1,1,Radial Velocity,2021,2041.54152,3.166,,,1913.64484,6.021,0.049,,,,,1.01
HD 95735 c,1,1,2,Radial Velocity,2021,2946.0,2.94,,,,,0.132,,,3719.0,0.37,0.39
HD 95872 b,1,1,1,Radial Velocity,2015,4375.0,5.15,,,,,0.06,,,5312.0,0.84,0.7
HD 96063 b,1,1,1,Radial Velocity,2011,362.5,1.11,,,,,0.17,,,5020.0,4.75,1.37
HD 96127 b,1,1,1,Radial Velocity,2011,647.29999,1.42,,,,,0.3,,,3943.0,51.1,10.94
HD 96167 b,1,2,1,Radial Velocity,2009,498.04,1.332,,,,,0.685,,,5733.0,1.94,1.27
HD 96700 b,1,1,3,Radial Velocity,2021,8.1245,0.0777,,,,,0.138,,G0 V,5845.0,,0.89
HD 96700 c,1,1,3,Radial Velocity,2021,19.88,0.141,,,,,0.293,,G0 V,5845.0,,0.89
HD 96700 d,1,1,3,Radial Velocity,2021,103.5,0.424,,,,,0.27,,G0 V,5845.0,,0.89
HD 96992 b,1,1,1,Radial Velocity,2021,514.0,1.24,,,,,0.41,,,4725.0,7.43,0.96
HD 97037 b,1,1,1,Radial Velocity,2022,6449.08337,6.925,,,6707.76853,21.105,0.357,,,,,1.06
HD 97048 b,1,1,1,Disk Kinematics,2019,,130.0,,,794.575,2.5,,,Be9.5/AO,10000.0,2.25,2.4
HD 97658 b,1,1,1,Radial Velocity,2010,9.4897116,,2.12,0.189,8.3,0.02611,0.05,751,K1 V,5212.0,0.73,0.85
HD 98219 b,1,1,1,Radial Velocity,2011,433.8,1.26,,,,,0.079,,,4925.0,4.6,1.41
HD 98649 b,1,1,1,Radial Velocity,2012,5697.3043,6.297,,,2665.30902,8.386,0.841,,,,,1.02
HD 98736 b,1,2,1,Radial Velocity,2018,968.8,1.864,,,,,0.226,,,5271.0,0.93,0.92
HD 99109 b,1,1,1,Radial Velocity,2005,439.29999,1.11,,,,,0.09,,,5282.0,0.98,0.76
HD 99283 b,1,1,1,Radial Velocity,2021,310.4,1.08,,,,,0.2,,K0 III,4886.0,11.21,1.76
HD 99492 b,1,2,2,Radial Velocity,2004,17.0503,,,,,,0.034,,K2 V,4929.0,,0.85
HD 99492 c,1,2,2,Radial Velocity,2023,95.233,,,,,,0.063,,K2 V,4929.0,,0.85
HD 99706 b,1,1,2,Radial Velocity,2011,841.0,1.98,,,,,0.25,,,4862.0,5.52,1.46
HD 99706 c,1,1,2,Radial Velocity,2018,1278.0,,,,,,0.411,,,,,1.72
HIP 105854 b,1,1,1,Radial Velocity,2014,184.2,0.81,,,,,0.02,,K2 III,4780.0,,2.1
HIP 107772 b,1,1,1,Radial Velocity,2020,55.199,0.243,,,,,0.18,,M0 V,,,0.63
HIP 107773 b,1,1,1,Radial Velocity,2015,144.3,0.72,,,,,0.09,,K1 III,4945.0,11.6,2.42
HIP 109384 b,1,1,1,Radial Velocity,2016,499.48,1.134,,,,,0.549,,G5,5180.0,,0.78
HIP 109600 b,1,2,1,Radial Velocity,2016,232.08,0.706,,,,,0.163,,G5,5530.0,,0.87
HIP 113103 b,1,1,2,Transit,2023,7.610303,0.06899,1.829,0.163,,,0.17,721,,4930.0,0.74,0.76
HIP 113103 c,1,1,2,Transit,2023,14.245648,0.10479,2.4,0.214,,,0.17,585,,4930.0,0.74,0.76
HIP 114933 b,1,1,1,Radial Velocity,2021,1481.6,2.84,,,,,0.21,,K0 III,4823.0,5.27,1.39
HIP 116454 b,1,2,1,Transit,2014,9.1004157,0.0792,2.469,0.22,9.7,0.03052,0.215,753,,5048.0,0.76,0.8
HIP 12961 b,1,1,1,Radial Velocity,2010,57.435,0.25,,,,,0.17,,,3901.0,0.65,0.69
HIP 14810 b,1,1,3,Radial Velocity,2005,6.673892,0.0696,,,,,0.14399,,G5,5544.0,1.07,1.01
HIP 14810 c,1,1,3,Radial Velocity,2006,147.747,0.549,,,,,0.1566,,G5,5544.0,1.07,1.01
HIP 14810 d,1,1,3,Radial Velocity,2009,981.8,1.94,,,,,0.185,,G5,5544.0,1.07,1.01
HIP 19976 b,1,2,1,Radial Velocity,2022,50.65905,0.234,,,,,0.304,,,,,0.67
HIP 21152 b,1,2,1,Imaging,2022,22000.0,17.0,,,7627.88177,24.0,0.36,1300,F5 V,6655.0,,1.4
HIP 29442 c,1,1,3,Radial Velocity,2023,3.5379559,0.04518,1.551,0.138,4.5,0.01416,,1123,,5289.0,0.98,0.9
HIP 29442 d,1,1,3,Radial Velocity,2023,6.429575,0.0673,1.538,0.137,5.14,0.01617,,920,,5289.0,0.98,0.9
HIP 34222 b,1,1,1,Radial Velocity,2021,159.986,0.492,,,,,0.305,,K7 V,,,0.62
HIP 35173 b,1,1,1,Radial Velocity,2019,41.516,0.217,,,,,0.16,,K2 V,4881.0,,0.79
HIP 35965 b,1,1,1,Radial Velocity,2022,26125.56497,15.898,,,2589.98369,8.149,0.138,,,,,0.78
HIP 38594 b,1,2,2,Radial Velocity,2020,60.722,0.256,,,,,0.17,,M0,,,0.61
HIP 38594 c,1,2,2,Radial Velocity,2020,3477.768,3.805,,,,,0.16,,M0,,,0.61
HIP 39017 b,1,1,1,Imaging,2024,31000.0,22.1,,,7500.75041,23.6,0.55,,A9/F0,,,1.52
HIP 41378 b,1,1,5,Transit,2016,15.572098,,,,,,,,,6226.0,1.34,1.17
HIP 41378 c,1,1,5,Transit,2016,31.70648,,,,,,,,,6226.0,1.34,1.17
HIP 41378 d,1,1,5,Transit,2016,1114.0,,,,,,,,,6226.0,1.34,1.17
HIP 41378 e,1,1,5,Transit,2016,,,,,,,,,,6226.0,1.34,1.17
HIP 41378 f,1,1,5,Transit,2016,1084.0,,,,,,,,,6226.0,1.34,1.17
HIP 4845 b,1,1,1,Radial Velocity,2020,34.15,0.176,,,,,0.25,,,,,0.62
HIP 48714 b,1,1,1,Radial Velocity,2020,17.818,0.112,,,,,0.5,,M0.5 Ve,,,0.58
HIP 5158 b,1,1,2,Radial Velocity,2009,345.72,0.89,,,,,0.52,,,4962.0,,0.78
HIP 5158 c,1,1,2,Radial Velocity,2011,9017.76,7.7,,,,,0.14,,,4813.0,0.75,0.78
HIP 54373 b,1,1,2,Radial Velocity,2019,7.76,0.063,,,,,0.2,,K5 V,4021.0,,0.57
HIP 54373 c,1,1,2,Radial Velocity,2019,15.144,0.099,,,,,0.2,,K5 V,4021.0,,0.57
HIP 54597 b,1,1,1,Radial Velocity,2023,3274.0,4.0,,,762.78818,2.4,0.03,,K5 V,,,0.8
HIP 55507 b,1,1,1,Radial Velocity,2022,5138.43727,5.062,,,2585.53409,8.135,0.362,,,,,0.65
HIP 56640 b,1,1,1,Radial Velocity,2021,2675.57603,4.55,,,2151.69832,6.77,0.118,,,,,1.75
HIP 57274 b,1,1,3,Radial Velocity,2011,8.1352,0.07,,,,,0.19,,,4510.0,0.78,0.29
HIP 57274 c,1,1,3,Radial Velocity,2011,32.03,0.178,,,,,0.05,,K4 V,4640.0,0.68,0.73
HIP 57274 d,1,1,3,Radial Velocity,2011,431.7,1.01,,,,,0.27,,K4 V,4640.0,0.68,0.73
HIP 5763 b,1,1,1,Radial Velocity,2021,30.014,0.17,,,,,0.054,,K6 V,,,0.72
HIP 63242 b,1,1,1,Radial Velocity,2013,124.6,0.565,,,,,0.23,,G8,4830.0,,1.54
HIP 65 A b,1,2,1,Transit,2020,0.9809734,0.01782,22.754,2.03,1021.18779,3.213,0.0,1411,K4 V,4590.0,0.72,0.78
HIP 65407 b,1,1,2,Radial Velocity,2016,28.125,0.177,,,,,0.14,,K0,5460.0,,0.93
HIP 65407 c,1,1,2,Radial Velocity,2016,67.3,0.316,,,,,0.12,,K0,5460.0,,0.93
HIP 65426 b,1,1,1,Imaging,2017,,92.0,16.814,1.5,2860.47,9.0,,1500,A2 V,8840.0,1.77,1.96
HIP 65891 b,1,1,1,Radial Velocity,2015,1079.55726,2.794,,,1871.37366,5.888,0.128,,,,,2.49
HIP 66074 b,1,1,1,Astrometry,2023,310.9,0.799,,,1589.14204,5.0,0.948,,,4300.0,0.69,0.7
HIP 67522 b,1,1,2,Transit,2020,6.9594731,0.0748,9.987,0.891,,,0.064,1175,,5675.0,1.38,1.22
HIP 67522 c,1,1,2,Transit,2024,14.334892,0.1228,7.936,0.708,,,0.077,917,,5675.0,1.38,1.22
HIP 67537 b,1,1,1,Radial Velocity,2017,2523.64713,4.807,,,4309.11754,13.558,0.586,,,,,2.32
HIP 67851 b,1,1,2,Radial Velocity,2015,88.87622,0.482,,,,,0.063,,,,,1.9
HIP 67851 c,1,1,2,Radial Velocity,2015,3923.6609,6.032,,,2204.77566,6.937,0.356,,,,,1.9
HIP 70849 b,1,2,1,Radial Velocity,2009,3649.0,3.99,,,1430.22783,4.5,0.65,,K7 V,,,0.65
HIP 71135 b,1,1,1,Radial Velocity,2019,87.19,0.335,,,,,0.21,,M1,4146.0,,0.66
HIP 74890 b,1,1,1,Radial Velocity,2016,822.3,2.1,,,,,0.07,,K1 III,4850.0,5.77,1.74
HIP 75092 b,1,1,1,Radial Velocity,2021,926.4,2.02,,,,,0.42,,K0 III,4891.0,4.53,1.28
HIP 77900 b,1,1,1,Imaging,2024,,3319.0,,,6674.39655,21.0,,2507,,,,
HIP 78530 b,1,1,1,Imaging,2010,,740.0,,,7300.0,23.0,,2700,B9 V,10500.0,,2.5
HIP 79098 AB b,1,2,1,Imaging,2019,,345.0,,,6515.515,20.5,,2450,,,,3.75
HIP 79431 b,1,1,1,Radial Velocity,2009,111.7,0.36,,,,,0.29,,M3 V,3191.0,,0.49
HIP 81208 C b,1,3,1,Imaging,2023,104100.0,23.04,,,4703.86042,14.8,,2050,M,,,0.14
HIP 8152 b,1,1,2,Transit,2023,10.751014,0.093,2.536,0.226,8.9,0.028,0.0,795,,5618.0,0.96,0.94
HIP 8152 c,1,1,2,Transit,2023,19.60562,0.139,2.524,0.225,10.7,0.03367,0.2,651,,5618.0,0.96,0.94
HIP 8541 b,1,2,2,Radial Velocity,2016,1852.14387,3.729,,,2451.72833,7.714,0.36,,,,,2.01
HIP 86221 b,1,1,1,Radial Velocity,2021,2.224,0.031,,,,,0.086,,K5 V,,,0.79
HIP 90988 b,1,1,1,Radial Velocity,2021,455.73816,1.36,,,,,0.081,,,,,1.61
HIP 91258 b,1,1,1,Radial Velocity,2013,5.0505,0.06,,,,,0.02,,,5519.0,0.89,0.97
HIP 94235 b,1,2,1,Transit,2022,7.713057,0.0787,3.0,0.268,379.0,1.19247,0.32,1060,G V,5991.0,1.08,1.09
HIP 948 b,1,1,1,Radial Velocity,2022,24955.45756,15.037,,,6547.26518,20.6,0.23,,,,,0.71
HIP 9618 b,1,1,2,Transit,2023,20.772858,0.145,3.828,0.342,8.3,0.02611,0.0,641,,5649.0,0.96,0.94
HIP 9618 c,1,1,2,Transit,2023,52.56363,0.269,3.429,0.306,7.0,0.02202,0.0,470,,5649.0,0.96,0.94
HIP 97166 b,1,1,2,Transit,2021,10.288914,0.091,2.48,0.221,19.1,0.0601,0.29,702,,5216.0,0.84,0.93
HIP 97166 c,1,1,2,Radial Velocity,2021,16.432,0.124,,,,,0.0,,,5216.0,0.84,0.93
HIP 97233 b,1,1,1,Radial Velocity,2014,1062.26506,2.491,,,6098.17365,19.187,0.63,,,,,1.81
HIP 99770 b,1,1,1,Imaging,2023,18600.0,16.9,,,5117.03735,16.1,0.25,,A5-A6,8000.0,,1.85
HN Lib b,1,1,1,Radial Velocity,2023,36.116,0.1417,,,,,0.079,234,M4.0 V,3347.0,0.3,0.29
HN Peg b,1,1,1,Imaging,2006,,773.0,11.777,1.051,6991.57,21.9987,,,G0 V,,,
HR 2562 b,1,1,1,Imaging,2016,,20.3,12.442,1.11,9534.9,30.0,,1200,F5 V,,,1.3
HR 5183 b,1,2,1,Radial Velocity,2019,27000.0,18.0,,,,,0.84,171,,5794.0,1.53,1.07
HR 810 b,1,1,1,Radial Velocity,1999,302.79999,0.92,,,,,0.14,,,6167.0,1.13,1.34
HR 858 b,1,2,3,Transit,2019,3.58599,0.048,2.085,0.186,,,0.3,1572,,6201.0,1.31,1.15
HR 858 c,1,2,3,Transit,2019,5.97293,0.0674,1.939,0.173,,,0.19,1326,,6201.0,1.31,1.15
HR 858 d,1,2,3,Transit,2019,11.23,0.1027,2.164,0.193,,,0.28,1075,,6201.0,1.31,1.15
HR 8799 b,1,1,4,Imaging,2008,170000.0,68.0,13.0,1.2,2000.0,7.0,,,A5 V,,,1.5
HR 8799 c,1,1,4,Imaging,2008,69000.0,38.0,13.0,1.2,3000.0,10.0,,,A5 V,,,1.5
HR 8799 d,1,1,4,Imaging,2008,37000.0,24.0,13.0,1.2,3000.0,10.0,,,A5 V,,,1.5
HR 8799 e,1,1,4,Imaging,2010,,16.4,13.115,1.17,3178.3,10.0,0.15,1150,A5,7400.0,,
HS Psc b,1,1,1,Radial Velocity,2024,3.986,0.0435,,,,,0.27,,K7 V,4203.0,0.65,0.69
HU Aqr AB b,1,2,2,Eclipse Timing Variations,2011,2390.0,3.6,,,,,0.0,,,,,0.88
HU Aqr AB c,1,2,2,Eclipse Timing Variations,2011,4368.0,5.4,,,,,0.51,,,,,0.88
IC 4651 9122 b,1,1,1,Radial Velocity,2018,734.0,2.038,,,,,0.18,,,,,2.1
IRAS 04125+2902 b,1,2,1,Transit,2024,8.834978,0.077,10.738,0.958,,,,854,,4080.0,1.45,0.7
ITG 15 b,1,2,1,Imaging,2024,,435.0,,,6674.39655,21.0,,2601,,,,
K2-10 b,1,1,1,Transit,2015,19.3044,,3.84,0.343,27.0,0.08495,0.31,,,5620.0,0.98,0.92
K2-100 b,1,1,1,Transit,2016,1.6739035,0.0301,3.88,0.346,21.8,0.06859,0.0,1841,G0 V,5945.0,1.24,1.15
K2-101 b,1,1,1,Transit,2016,14.6762429,0.1124,2.0,0.178,,,,618,,4927.0,0.76,0.82
K2-102 b,1,1,1,Transit,2016,9.915615,,1.3,0.116,,,0.1,,,4695.0,0.71,0.77
K2-104 b,1,1,1,Transit,2016,1.9741954,0.0242,1.79,0.16,,,,798,,3712.0,0.48,0.51
K2-105 b,1,1,1,Transit,2017,8.2669928,0.0833,3.59,0.32,,,,928,,5636.0,0.97,1.05
K2-107 b,1,1,1,Transit,2017,3.313959,0.0475,15.98,1.426,,,,1649,,6061.0,1.81,1.3
K2-108 b,1,1,1,Transit,2017,4.733999,0.0581,5.33,0.476,,,,1360,,5599.0,1.76,1.17
K2-11 b,1,1,1,Transit,2015,39.93767,0.2257,7.55,0.674,,,,734,,5433.0,5.15,1.35
K2-110 b,1,1,1,Transit,2017,13.86375,0.10207,2.592,0.231,15.9,0.05003,0.13,638,,5010.0,0.71,0.74
K2-111 b,1,1,2,Transit,2017,5.3518,0.0565,1.82,0.162,5.58,0.01756,0.1,1309,,5775.0,1.25,0.84
K2-111 c,1,1,2,Radial Velocity,2020,15.6805,0.11569,,,,,0.071,,,5775.0,1.25,0.84
K2-113 b,1,1,1,Transit,2017,5.817685,0.0642,12.14,1.083,,,,1098,,5660.0,1.24,1.04
K2-114 b,1,1,1,Transit,2017,11.390931,0.0944,10.592,0.945,638.8351,2.01,0.079,701,,4899.0,0.83,0.86
K2-115 b,1,1,1,Transit,2017,20.2729914,0.1415,11.803,1.053,321.00669,1.01,0.063,696,,5870.0,0.85,0.92
