pl_name,default_flag,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_massjlim,pl_dens,st_mass
WASP-92 b,1,1,1,2.1746742,0.0348,16.376,1.461,255.85315,0.805,0,0.346,1.19
WASP-91 b,1,1,1,2.798581,0.037,11.545,1.03,425.8922,1.34,0,1.59,0.84
WASP-90 b,1,1,1,3.916243,0.0562,18.271,1.63,200.2329,0.63,0,0.193,1.55
WASP-89 b,1,1,1,3.3564227,0.0427,11.657,1.04,1875.197,5.9,0,7.0,0.92
WASP-88 b,1,1,1,4.954,,16.365,1.46,133.4886,0.42,0,,0.94
WASP-87 b,1,2,1,1.682795,0.02946,15.524,1.385,692.8694,2.18,0,,1.2
WASP-85 A b,1,2,1,2.6556777,0.039,13.899,1.24,402.05495,1.265,0,0.88,1.09
WASP-84 c,1,1,2,1.4468849,0.02359,1.95,0.174,15.2,0.048,0,11.2,0.85
WASP-84 b,1,1,2,8.52349648,0.0778,10.72,0.956,220.0,0.692,0,0.98,0.85
WASP-83 b,1,1,1,4.971252,0.059,11.657,1.04,95.349,0.3,0,0.35,1.11
WASP-82 b,1,1,1,2.70579,,18.159,1.62,371.8611,1.17,0,,1.48
WASP-81 b,1,1,1,2.7164762,0.03908,16.018,1.429,231.69807,0.729,0,0.332,1.08
WASP-80 b,1,1,1,3.06785234,0.0344,11.198,0.999,170.99254,0.538,0,0.717,0.58
WASP-8 c,1,2,2,4323.0,5.28,,,,,,,1.04
WASP-8 b,1,2,2,8.15872,,12.666,1.13,807.2882,2.54,0,,1.34
WASP-79 b,1,1,1,3.662392,0.0519,17.15,1.53,270.15415,0.85,0,,1.39
WASP-78 b,1,1,1,2.17518,,21.633,1.93,352.7913,1.11,0,,1.87
WASP-77 A b,1,2,1,1.36002854,0.02335,13.787,1.23,529.81995,1.667,0,1.115,0.9
WASP-76 b,1,2,1,1.80988198,0.033,20.781,1.854,284.1386,0.894,0,0.17,1.46
WASP-75 b,1,2,1,2.484193,0.0375,14.235,1.27,340.06,1.07,0,0.69,1.14
WASP-74 b,1,1,1,2.13775,,15.244,1.36,228.8376,0.72,0,,0.98
WASP-73 b,1,1,1,4.08722,,15.917,1.42,908.9938,2.86,0,,2.52
WASP-72 b,1,1,1,2.21673,,14.46,1.29,731.009,2.3,0,,2.78
WASP-71 b,1,1,1,2.90367,,13.227,1.18,441.7837,1.39,0,,0.76
WASP-70 A b,1,2,1,3.7130203,0.04853,13.047,1.164,187.512,0.59,0,0.499,1.11
WASP-7 b,1,1,1,4.9546416,0.0617,14.908,1.33,305.1168,0.96,0,0.55,1.28
WASP-69 b,1,1,1,3.86814,,12.442,1.11,92.1707,0.29,0,,0.98
WASP-68 b,1,2,1,5.0843,,14.796,1.32,343.2564,1.08,0,,1.49
WASP-67 b,1,1,1,4.61442,,12.89,1.15,136.6669,0.43,0,,0.91
WASP-66 b,1,1,1,4.08605,,15.693,1.4,746.9005,2.35,0,,1.33
WASP-65 b,1,1,1,2.3114243,0.0334,12.464,1.112,492.62,1.55,0,1.5,0.93
WASP-64 b,1,2,1,1.5732918,0.02648,14.247,1.271,403.945,1.271,0,0.823,1.0
WASP-63 b,1,1,1,4.37808,,15.805,1.41,117.5971,0.37,0,,1.28
WASP-62 b,1,1,1,4.41195,,14.796,1.32,165.2716,0.52,0,,1.11
WASP-61 b,1,1,1,3.8559,,15.805,1.41,851.7844,2.68,0,,1.82
WASP-60 b,1,1,1,4.305,,9.864,0.88,174.8065,0.55,0,,1.19
WASP-6 b,1,1,1,3.36101,,11.545,1.03,117.5971,0.37,0,,0.55
WASP-59 b,1,1,1,7.919585,0.0697,8.687,0.775,274.276,0.863,0,2.4,0.72
WASP-58 b,1,2,1,5.01718,,16.029,1.43,308.2951,0.97,0,,1.06
WASP-57 b,1,1,1,2.83891856,0.03769,11.769,1.05,204.68252,0.644,0,0.693,0.89
WASP-56 b,1,2,1,4.6171,,10.536,0.94,143.0235,0.45,0,,0.71
WASP-55 b,1,2,1,4.46563,,14.908,1.33,193.8763,0.61,0,,1.11
WASP-54 b,1,2,1,3.69364,,17.71,1.58,187.5197,0.59,0,,1.08
WASP-53 c,1,1,2,2840.0,3.73,,,,,,,0.84
WASP-53 b,1,1,2,3.3098443,0.04101,12.038,1.074,677.61356,2.132,0,2.28,0.84
WASP-52 b,1,1,1,1.7497798,0.0272,14.24,1.27,146.2,0.46,0,0.29,0.87
WASP-50 b,1,1,1,1.9551,0.0293,13.07,1.166,466.8287,1.4688,0,1.325,0.89
WASP-5 b,1,1,1,1.6284279,0.0267,12.184,1.087,502.15,1.58,0,1.64,0.96
WASP-49 b,1,2,1,2.78174,,12.442,1.11,117.5971,0.37,0,,0.92
