pl_name,default_flag,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_massjlim,pl_dens,st_mass
Kepler-659 b,1,1,1,17.671796,,2.5,0.223,,,,,0.79
Kepler-658 b,1,1,1,1.28707676,,1.63,0.145,,,,,0.63
Kepler-657 b,1,1,1,24.54350418,,3.52,0.314,,,,,1.01
Kepler-656 c,1,1,2,5.25449393,0.0602,1.41,0.126,,,,,1.05
Kepler-656 b,1,1,2,1.26025909,,3.12,0.278,,,,,0.86
Kepler-655 b,1,1,1,46.4063358,,2.71,0.242,,,,,1.15
Kepler-654 b,1,1,1,13.72465129,,2.07,0.185,,,,,1.04
Kepler-653 c,1,1,2,0.90037648,,0.78,0.07,,,,,1.02
Kepler-653 b,1,1,2,14.70748976,,1.95,0.174,,,,,1.02
Kepler-652 b,1,1,1,4.18200253,,2.49,0.222,,,,,0.97
Kepler-651 b,1,1,1,21.38521506,,2.37,0.211,,,,,0.92
Kepler-650 b,1,1,1,3.03214559,,2.96,0.264,,,,,1.08
Kepler-65 e,1,1,4,258.8,,,,260.0,0.82,0,,1.25
Kepler-65 d,1,1,4,8.13123,0.084,1.52,0.136,,,,,1.25
Kepler-65 c,1,1,4,5.859944,0.068,2.58,0.23,,,,,1.25
Kepler-65 b,1,1,4,2.15491,0.035,1.42,0.127,,,,,1.25
Kepler-649 b,1,1,1,29.90722674,,2.26,0.202,,,,,0.97
Kepler-648 b,1,1,1,17.4211749,,3.22,0.287,,,,,1.05
Kepler-647 c,1,1,2,29.6663,,4.001,0.357,,,,,1.07
Kepler-647 b,1,1,2,16.2254649,,1.17,0.104,,,,,1.03
Kepler-646 b,1,1,1,15.87364565,,1.99,0.178,,,,,0.93
Kepler-645 b,1,1,1,3.27582262,,2.1,0.187,,,,,1.13
Kepler-644 b,1,1,1,3.1739171,,3.15,0.281,,,,,1.49
Kepler-643 b,1,1,1,16.33889626,,10.16,0.906,,,,,1.0
Kepler-642 b,1,1,1,4.41745855,,2.9,0.259,,,,,1.4
Kepler-641 b,1,1,1,9.48961571,,1.85,0.165,,,,,1.02
Kepler-640 b,1,1,1,22.24813967,,2.56,0.228,,,,,1.01
Kepler-639 b,1,1,1,10.21420496,,2.38,0.212,,,,,1.14
Kepler-638 b,1,1,1,6.07972888,,1.83,0.163,,,,,0.88
Kepler-637 b,1,1,1,23.20584623,,4.75,0.424,,,,,1.64
Kepler-636 b,1,2,1,16.08066115,,4.45,0.397,,,,,0.85
Kepler-635 b,1,1,1,23.44971004,,2.64,0.236,,,,,1.33
Kepler-634 b,1,1,1,5.16950177,,1.89,0.169,,,,,1.03
Kepler-633 c,1,1,2,23.78319931,,2.296,0.205,,,,,1.0
Kepler-633 b,1,1,2,8.50340718,,1.63,0.145,,,,,1.02
Kepler-632 b,1,1,1,30.99660733,,2.21,0.197,,,,,0.91
Kepler-631 b,1,1,1,17.97979059,,2.9,0.259,,,,,1.24
Kepler-630 b,1,1,1,161.4743937,,3.18,0.284,,,,,1.02
Kepler-63 b,1,1,1,9.4341505,0.08,6.11,0.545,120.0,0.378,1,3.0,0.98
Kepler-629 b,1,1,1,7.2385854,,1.38,0.123,,,,,0.93
Kepler-627 b,1,1,1,40.6994443,,3.73,0.333,,,,,1.3
Kepler-626 b,1,1,1,14.48585199,,2.29,0.204,,,,,1.01
Kepler-625 c,1,1,2,4.1653651,,1.05,0.094,,,,,1.04
Kepler-625 b,1,1,2,7.75192492,,1.99,0.178,,,,,1.04
Kepler-624 b,1,1,1,14.58649607,,2.31,0.206,,,,,1.1
Kepler-623 b,1,1,1,9.07097734,,3.01,0.269,,,,,0.9
Kepler-622 b,1,1,1,14.28226676,,2.13,0.19,,,,,0.64
Kepler-621 b,1,1,1,2.62811375,,2.3,0.205,,,,,0.72
Kepler-620 b,1,1,1,12.91375431,,3.32,0.296,,,,,1.15
Kepler-62 f,1,1,5,267.291,0.718,1.41,0.126,35.0,0.11,1,,0.69
Kepler-62 e,1,1,5,122.3874,0.427,1.61,0.144,36.0,0.113,1,,0.69
Kepler-62 d,1,1,5,18.16406,0.12,1.95,0.174,14.0,0.044,1,,0.69
Kepler-62 c,1,1,5,12.4417,0.0929,0.54,0.048,4.0,0.013,1,,0.69
Kepler-62 b,1,1,5,5.714932,0.0553,1.31,0.117,9.0,0.03,1,,0.69
Kepler-619 d,1,1,3,11.67894236,0.1021,4.17,0.372,,,,,1.04
Kepler-619 c,1,1,3,1.20846503,,1.69,0.151,,,,,1.09
Kepler-619 b,1,1,3,5.4042722,,3.16,0.282,,,,,1.09
Kepler-618 b,1,1,1,3.59576964,,2.6,0.232,,,,,1.05
Kepler-617 b,1,1,1,1.68269615,,1.32,0.118,,,,,0.51
Kepler-616 d,1,1,3,51.06740189,,2.653,0.237,,,,,1.06
Kepler-616 c,1,1,3,90.4113556,,3.41,0.304,,,,,0.98
Kepler-616 b,1,1,3,9.99761851,,2.43,0.217,,,,,0.98
Kepler-615 b,1,1,1,10.35584657,,1.74,0.155,,,,,0.73
Kepler-614 b,1,1,1,14.03491514,,2.39,0.213,,,,,0.85
Kepler-613 b,1,1,1,15.77979614,,2.29,0.204,,,,,0.98
Kepler-612 b,1,1,1,3.72215641,,2.84,0.253,,,,,0.98
Kepler-611 b,1,1,1,2.4370333,,1.65,0.147,,,,,1.01
Kepler-610 c,1,1,2,151.86392,,3.3,0.294,,,,,1.1
Kepler-610 b,1,1,2,6.99692655,,4.19,0.374,,,,,1.1
Kepler-61 b,1,1,1,59.87756,,2.15,0.192,,,,,0.64
Kepler-609 b,1,1,1,6.52121067,,3.35,0.299,,,,,1.09
Kepler-608 b,1,1,1,6.41251504,,3.64,0.325,,,,,1.0
Kepler-607 c,1,1,2,39.67679977,,2.76,0.246,,,,,0.81
Kepler-607 b,1,1,2,0.6381632,,0.87,0.078,,,,,0.84
Kepler-606 b,1,1,1,24.31575992,,3.31,0.295,,,,,1.13
Kepler-605 c,1,1,2,2.35895152,,0.86,0.077,,,,,0.91
Kepler-605 b,1,1,2,3.38353807,,1.44,0.128,,,,,0.91
Kepler-604 b,1,1,1,25.85501786,,2.59,0.231,,,,,1.02
Kepler-603 d,1,1,3,6.2171292,,1.32,0.118,,,,,1.01
Kepler-603 c,1,1,3,127.9075774,,6.5,0.58,,,,,1.01
Kepler-603 b,1,1,3,21.05358596,,2.65,0.236,,,,,1.01
Kepler-602 b,1,1,1,15.28469497,,2.09,0.186,,,,,1.08
Kepler-601 b,1,1,1,5.37886844,,1.9,0.17,,,,,0.85
Kepler-600 b,1,1,1,23.67517607,,2.9,0.259,,,,,0.84
Kepler-60 d,1,1,3,11.8981,,1.99,0.178,4.16,0.01309,0,2.91,1.04
Kepler-60 c,1,1,3,8.9187,,1.9,0.17,3.85,0.01211,0,3.06,1.04
Kepler-60 b,1,1,3,7.1334,,1.71,0.153,4.19,0.01318,0,4.62,1.04
Kepler-6 b,1,1,1,3.2346996,0.04852,14.617,1.304,212.31044,0.668,0,0.4,1.21
Kepler-599 b,1,1,1,15.65562652,,2.84,0.253,,,,,0.83
Kepler-598 c,1,1,2,86.4945,,3.024,0.27,,,,,0.9
Kepler-598 b,1,1,2,3.70175428,,1.5,0.134,,,,,0.87
Kepler-597 b,1,1,1,13.02365861,,2.37,0.211,,,,,0.97
Kepler-596 b,1,1,1,21.30022655,,3.46,0.309,,,,,1.21
Kepler-595 c,1,1,2,12.38602,,1.009,0.09,3.3,0.01038,0,,0.93
Kepler-595 b,1,1,2,25.3029092,,3.708,0.331,17.4,0.05475,0,,0.93
Kepler-594 b,1,1,1,13.64618192,,2.18,0.194,,,,,0.91
Kepler-593 b,1,1,1,21.21708973,,2.87,0.256,,,,,1.08
Kepler-592 b,1,1,1,2.82019241,,2.39,0.213,,,,,1.04
Kepler-591 b,1,1,1,81.1694299,,3.39,0.302,,,,,0.97
Kepler-590 b,1,1,1,5.85296257,,4.02,0.359,,,,,1.1
Kepler-59 c,1,1,2,17.9801235,,1.98,0.177,,,,,1.04
Kepler-59 b,1,1,2,11.8681707,,1.1,0.098,,,,,1.04
Kepler-589 c,1,1,2,3.52466011,,1.117,0.1,,,,,0.83
Kepler-589 b,1,1,2,16.54964934,,2.27,0.203,,,,,0.88
Kepler-588 b,1,1,1,4.22162536,,2.63,0.235,,,,,1.01
Kepler-587 b,1,1,1,10.94027841,,2.23,0.199,,,,,0.92
Kepler-586 b,1,1,1,2.10472218,,2.79,0.249,,,,,0.94
Kepler-585 b,1,1,1,2.75235975,,2.83,0.252,,,,,0.96
Kepler-584 b,1,1,1,35.1810304,,4.21,0.376,,,,,1.17
Kepler-583 b,1,1,1,6.5100253,,2.28,0.203,,,,,0.94
Kepler-582 b,1,1,1,18.49235668,,3.68,0.328,,,,,0.93
Kepler-581 b,1,1,1,40.6069821,,2.63,0.235,,,,,1.0
Kepler-580 b,1,1,1,8.22241966,,2.57,0.229,,,,,0.67
Kepler-58 e,1,1,4,4.45814897,0.0533,1.61,0.144,,,,,1.02
Kepler-58 d,1,1,4,40.101371,0.236,2.94,0.262,,,,,
Kepler-58 c,1,1,4,15.5741568,,2.86,0.255,53.0,0.16676,1,,0.95
Kepler-58 b,1,1,4,10.2184954,,2.78,0.248,35.5,0.1117,1,,0.95
Kepler-579 b,1,1,1,9.66857723,,2.0,0.178,,,,,0.99
Kepler-578 b,1,1,1,1.6168837,,2.0,0.178,,,,,0.87
Kepler-577 b,1,1,1,25.69578251,,2.55,0.227,,,,,0.78
Kepler-576 b,1,1,1,29.91136794,,3.27,0.292,,,,,0.99
Kepler-575 b,1,1,1,9.37891944,,2.39,0.213,,,,,0.97
Kepler-574 b,1,1,1,7.65880414,,2.39,0.213,,,,,0.95
Kepler-573 b,1,1,1,22.18329658,,2.79,0.249,,,,,0.99
Kepler-572 b,1,1,1,17.20523483,,2.58,0.23,,,,,0.83
Kepler-571 b,1,1,1,4.79859939,,2.64,0.236,,,,,0.93
Kepler-570 b,1,1,1,4.301662,,2.45,0.219,,,,,0.93
Kepler-57 c,1,1,2,11.6,,2.196,0.196,6.86,0.02158,0,3.52871,0.86
Kepler-57 b,1,1,2,5.72,,3.135,0.28,25.06,0.07885,0,4.46603,0.86
Kepler-569 b,1,1,1,34.18890521,,3.16,0.282,,,,,0.95
Kepler-568 b,1,1,1,11.02347475,,2.26,0.202,,,,,0.55
Kepler-567 b,1,1,1,16.54297375,,2.25,0.201,,,,,0.84
Kepler-566 b,1,1,1,18.42794624,,2.15,0.192,,,,,0.83
Kepler-565 b,1,1,1,4.24374723,,3.64,0.325,,,,,0.98
Kepler-564 b,1,1,1,3.75083228,,4.63,0.413,,,,,0.95
Kepler-563 b,1,1,1,22.18432708,,3.09,0.276,,,,,0.8
Kepler-562 b,1,1,1,18.00931444,,5.21,0.465,,,,,0.93
Kepler-561 c,1,1,2,5.35016198,,2.68,0.239,,,,,0.96
Kepler-561 b,1,1,2,58.3620495,,6.96,0.621,,,,,0.96
Kepler-560 b,1,2,1,18.47764449,,1.72,0.153,,,,,0.34
Kepler-56 d,1,1,3,1002.0,2.16,,,,,,,
Kepler-56 c,1,1,3,21.40239,0.1652,9.8,0.874,181.0,0.57,0,1.06,1.32
Kepler-56 b,1,1,3,10.5016,0.1028,6.51,0.581,22.1,0.07,0,0.442,1.32
Kepler-559 b,1,1,1,17.58752333,,3.61,0.322,,,,,0.96
Kepler-558 b,1,1,1,29.00790538,,2.37,0.211,,,,,0.85
Kepler-557 b,1,1,1,3.70598955,,2.67,0.238,,,,,1.11
Kepler-556 b,1,1,1,11.72292176,,2.24,0.2,,,,,1.0
Kepler-555 b,1,1,1,16.21775407,,2.83,0.252,,,,,1.03
Kepler-554 b,1,1,1,1.90220856,,4.29,0.383,,,,,0.93
Kepler-553 c,1,1,2,328.24017,0.898,11.579,1.033,2129.45033,6.7,0,7.53,0.89
Kepler-553 b,1,1,2,4.030467,0.04766,4.741,0.423,116.00737,0.365,1,,0.89
Kepler-552 b,1,1,1,5.26341577,,3.95,0.352,,,,,1.03
Kepler-551 b,1,1,1,12.3764661,,2.73,0.244,,,,,0.65
Kepler-550 b,1,1,1,8.60010411,,4.42,0.394,,,,,0.87
Kepler-55 f,1,1,5,10.198545,0.081,1.59,0.142,,,,,
Kepler-55 e,1,1,5,4.617534,0.048,1.55,0.138,,,,,
Kepler-55 d,1,1,5,2.211099,0.029,1.59,0.142,,,,,
Kepler-55 c,1,1,5,42.1516418,,2.21,0.197,,,,,0.62
Kepler-55 b,1,1,5,27.9481449,,2.43,0.217,,,,,0.62
Kepler-549 d,1,1,3,24.61480613,0.1575,4.2,0.375,,,,,0.86
Kepler-549 c,1,1,3,117.040498,,2.93,0.261,,,,,0.88
Kepler-549 b,1,1,3,42.9495649,,2.57,0.229,,,,,0.88
Kepler-548 b,1,1,1,4.45419434,,11.99,1.07,,,,,0.93
Kepler-547 b,1,1,1,6.01038429,,4.0,0.357,,,,,0.78
Kepler-546 b,1,1,1,4.14702026,,7.0,0.624,,,,,1.11
Kepler-545 b,1,1,1,13.24934059,,2.69,0.24,,,,,1.04
Kepler-544 b,1,1,1,21.41616926,,2.12,0.189,,,,,1.16
Kepler-543 b,1,1,1,13.89961966,,2.5,0.223,,,,,0.7
Kepler-542 b,1,1,1,13.14497566,,1.57,0.14,,,,,0.93
Kepler-541 b,1,1,1,5.08005848,,3.36,0.3,,,,,1.41
Kepler-540 b,1,1,1,172.7049784,,2.71,0.242,,,,,1.02
Kepler-54 d,1,1,3,20.995694,0.126,1.53,0.136,,,,,
Kepler-54 c,1,1,3,12.0717249,,1.23,0.11,,,,,0.51
Kepler-54 b,1,1,3,8.0109434,,2.1,0.187,,,,,0.51
Kepler-539 c,1,1,2,1000.0,2.42,,,762.792,2.4,0,,1.05
Kepler-539 b,1,1,2,125.63243,0.4988,8.373,0.747,308.2951,0.97,0,2.9,1.05
Kepler-538 b,1,2,1,81.73778,0.3554,2.215,0.198,12.9,0.04059,0,6.5,0.89
Kepler-537 b,1,1,1,3.24755522,,1.41,0.126,,,,,1.07
Kepler-536 b,1,1,1,1.8270823,,3.1,0.277,,,,,0.92
Kepler-535 b,1,1,1,4.90332155,,2.36,0.211,,,,,1.18
Kepler-534 c,1,1,2,7.37868977,,1.227,0.109,,,,,1.07
Kepler-534 b,1,1,2,15.95994513,,2.24,0.2,,,,,1.05
Kepler-533 b,1,1,1,28.51120525,,3.38,0.302,,,,,0.78
Kepler-532 b,1,1,1,12.92491623,,2.57,0.229,,,,,0.87
Kepler-531 b,1,1,1,29.88485741,,2.78,0.248,,,,,0.78
Kepler-530 b,1,2,1,39.30941904,,3.01,0.269,,,,,0.97
Kepler-53 d,1,1,3,9.751962,0.091,2.12,0.189,,,,,
Kepler-53 c,1,1,3,38.5583038,,3.17,0.283,36.0,0.11327,1,,0.98
Kepler-53 b,1,1,3,18.6489525,,2.89,0.258,111.0,0.34925,1,,0.98
Kepler-529 d,1,1,3,35.86619949,,2.795,0.249,,,,,1.0
Kepler-529 c,1,1,3,12.8345022,,2.0,0.178,,,,,1.07
Kepler-529 b,1,1,3,1.98035766,,1.86,0.166,,,,,1.07
Kepler-528 b,1,1,1,19.78297415,,2.08,0.186,,,,,1.01
Kepler-527 b,1,1,1,13.28535633,,2.84,0.253,,,,,1.28
Kepler-526 b,1,1,1,5.45849832,,1.99,0.178,,,,,1.15
Kepler-525 b,1,1,1,18.68404933,,2.63,0.235,,,,,0.95
Kepler-524 c,1,1,2,1.88897906,,0.96,0.086,,,,,1.09
Kepler-524 b,1,1,2,7.97419807,,1.91,0.17,,,,,1.09
Kepler-523 b,1,1,1,5.83598311,,1.96,0.175,,,,,0.93
Kepler-522 b,1,1,1,38.58422849,,6.91,0.616,,,,,1.54
Kepler-521 b,1,1,1,22.20813214,,3.18,0.284,,,,,1.34
Kepler-520 c,1,1,2,5.21104261,,1.07,0.095,,,,,1.1
Kepler-520 b,1,1,2,19.67416124,,1.66,0.148,,,,,1.1
Kepler-52 d,1,1,3,36.445171,0.182,1.95,0.174,,,,,
Kepler-52 c,1,1,3,16.3850021,,1.84,0.164,45.4,0.14284,1,,0.54
Kepler-52 b,1,1,3,7.8773565,,2.1,0.187,135.0,0.42476,1,,0.54
Kepler-519 b,1,2,1,24.3078946,,2.1,0.187,,,,,0.89
Kepler-518 b,1,1,1,8.51203588,,2.11,0.188,,,,,0.96
Kepler-517 b,1,2,1,60.92832271,,2.67,0.238,,,,,0.95
Kepler-516 b,1,1,1,24.85462415,,5.74,0.512,,,,,1.62
Kepler-515 b,1,2,1,19.96371318,,1.46,0.13,,,,,0.9
Kepler-514 b,1,2,1,5.65179605,,1.72,0.153,,,,,1.28
Kepler-513 b,1,1,1,28.86235584,,2.2,0.196,,,,,1.02
Kepler-512 b,1,1,1,34.43587975,,2.69,0.24,,,,,1.17
Kepler-511 c,1,1,2,26.62949944,,4.21,0.376,,,,,0.96
Kepler-511 b,1,1,2,296.637865,,6.35,0.567,,,,,1.0
Kepler-510 b,1,1,1,19.55659418,,2.47,0.22,,,,,0.91
Kepler-51 e,1,1,4,264.284,,,,5.4,0.01699,0,,0.96
Kepler-51 d,1,1,4,130.194,0.509,9.7,0.865,7.6,0.024,0,0.046,1.04
Kepler-51 c,1,1,4,85.312,0.384,9.0,0.803,4.0,0.013,0,0.03,1.04
Kepler-51 b,1,1,4,45.154,0.2514,7.1,0.633,2.1,0.007,0,0.03,1.04
Kepler-509 b,1,1,1,41.74600392,,2.49,0.222,,,,,1.1
Kepler-508 b,1,1,1,25.30889748,,1.64,0.146,,,,,1.16
Kepler-507 b,1,1,1,3.56809693,,1.3,0.116,,,,,1.16
Kepler-506 b,1,1,1,6.8834055,,2.73,0.244,,,,,1.19
Kepler-505 b,1,1,1,27.52197994,,2.6,0.232,,,,,0.55
Kepler-504 b,1,2,1,9.54927542,,1.59,0.142,,,,,0.33
Kepler-502 b,1,1,1,4.28686431,,4.77,0.426,,,,,1.15
Kepler-501 c,1,1,2,3.62276006,,1.681,0.15,,,,,1.03
Kepler-501 b,1,1,2,5.64067757,,4.3,0.384,,,,,1.03
Kepler-500 b,1,1,1,8.5083244,,2.58,0.23,,,,,1.02
Kepler-50 c,1,1,2,9.37647,0.087,2.17,0.194,,,,,1.24
Kepler-50 b,1,1,2,7.81254,0.077,1.71,0.153,,,,,1.24
Kepler-5 b,1,1,1,3.5484657,0.0538,15.984,1.426,670.93913,2.111,0,0.4,1.37
Kepler-499 b,1,1,1,5.63252845,,2.17,0.194,,,,,0.87
Kepler-498 b,1,1,1,9.61375356,,3.03,0.27,,,,,0.98
Kepler-497 b,1,1,1,3.57320367,,6.04,0.539,,,,,1.09
Kepler-496 b,1,1,1,8.30864937,,2.32,0.207,,,,,0.86
Kepler-495 c,1,1,2,5.89660978,,1.219,0.109,,,,,0.89
Kepler-495 b,1,1,2,3.41303622,,5.23,0.467,,,,,0.86
Kepler-493 b,1,1,1,3.00387658,,15.13,1.35,,,,,1.36
Kepler-491 b,1,1,1,4.22538451,,8.92,0.796,,,,,1.04
Kepler-490 b,1,1,1,3.26869515,,11.65,1.039,,,,,1.08
Kepler-49 e,1,1,4,18.596108,0.116,1.56,0.139,,,,,
Kepler-49 d,1,1,4,2.576549,0.031,1.6,0.143,,,,,
Kepler-49 c,1,1,4,10.91,,2.444,0.218,8.38,0.02637,0,3.10968,0.61
Kepler-49 b,1,1,4,7.2,,2.579,0.23,9.77,0.03074,0,3.08211,0.61
Kepler-489 b,1,1,1,17.27629612,,7.72,0.689,,,,,0.82
Kepler-487 d,1,1,3,2.41839004,,2.775,0.248,,,,,0.87
Kepler-487 c,1,1,3,38.6519976,,2.68,0.239,,,,,0.91
Kepler-487 b,1,1,3,15.3587684,,11.42,1.019,,,,,0.91
Kepler-485 b,1,1,1,3.2432598,,14.41,1.286,,,,,1.07
Kepler-484 b,1,1,1,10.04556931,,2.28,0.203,,,,,0.96
Kepler-483 b,1,1,1,30.229104,,3.21,0.286,,,,,1.28
Kepler-482 b,1,1,1,56.35418576,,2.36,0.211,,,,,0.75
Kepler-481 b,1,1,1,10.06082567,,2.5,0.223,,,,,1.01
Kepler-480 b,1,1,1,4.9195838,,2.78,0.248,,,,,1.25
Kepler-48 f,1,1,5,5219.681854,5.719188,,,,,,,0.92
Kepler-48 e,1,1,5,982.0,,,,657.0,2.067,0,,0.88
Kepler-48 d,1,1,5,42.8961,,2.04,0.182,7.93,0.025,0,5.08,0.88
Kepler-48 c,1,1,5,9.67395,,2.71,0.242,14.61,0.04597,0,4.01,0.88
Kepler-48 b,1,1,5,4.778,,1.88,0.168,3.94,0.0124,0,3.23,0.88
Kepler-479 b,1,1,1,12.49341307,,2.12,0.189,,,,,0.86
Kepler-478 b,1,1,1,13.2217576,,2.71,0.242,,,,,0.85
Kepler-477 b,1,2,1,11.11990653,,2.07,0.185,,,,,0.87
Kepler-476 b,1,1,1,14.00640607,,3.08,0.275,,,,,1.03
Kepler-475 b,1,1,1,3.10550819,,2.49,0.222,,,,,0.86
Kepler-474 b,1,1,1,5.66067294,,3.06,0.273,,,,,0.99
Kepler-473 b,1,1,1,14.55731705,,4.08,0.364,,,,,1.06
Kepler-472 b,1,1,1,4.17625551,,3.22,0.287,,,,,0.85
Kepler-471 b,1,1,1,5.01423457,,14.96,1.335,,,,,1.49
Kepler-47 d,1,2,3,187.366,0.6992,7.04,0.628,19.02,0.05984,0,0.3,0.96
Kepler-47 c,1,2,3,303.227,0.9638,4.65,0.415,3.17,0.00997,0,0.17,0.96
Kepler-47 b,1,2,3,49.4643,0.2877,3.05,0.272,2.07,0.00651,0,0.4,0.96
Kepler-468 b,1,1,1,38.47875707,,13.34,1.19,,,,,0.96
Kepler-467 b,1,1,1,24.99324193,,2.25,0.201,,,,,1.05
Kepler-466 c,1,1,2,3.70921385,,1.25,0.112,,,,,1.04
Kepler-466 b,1,1,2,51.07926307,,2.85,0.254,,,,,1.04
Kepler-465 b,1,1,1,9.94067247,,2.95,0.263,,,,,1.23
Kepler-464 b,1,1,1,7.25696522,,3.3,0.294,,,,,1.21
Kepler-463 b,1,1,1,8.98101683,,3.05,0.272,,,,,0.87
Kepler-462 c,1,1,2,207.62,,4.0,0.357,6.0,0.01888,0,0.4,1.59
Kepler-462 b,1,1,2,84.6866,,3.0,0.268,53.9,0.16959,0,9.3,1.59
Kepler-461 b,1,1,1,8.31378306,,2.58,0.23,,,,,0.98
Kepler-460 c,1,1,2,220.1303357,,5.52,0.492,,,,,1.17
Kepler-46 d,1,1,3,6.766589,0.067,1.64,0.146,,,,,
Kepler-46 c,1,1,3,57.011,0.2799,,,119.499,0.376,0,,0.9
Kepler-46 b,1,1,3,33.60134,0.1968,9.057,0.808,1907.0,6.0,1,14.0,0.9
Kepler-458 c,1,1,2,20.74028413,,4.2,0.375,,,,,1.15
Kepler-457 d,1,1,3,10.6906004,,2.985,0.266,,,,,1.15
Kepler-454 d,1,2,3,4073.0,5.1,,,,,,,1.03
Kepler-454 c,1,2,3,524.19,1.287,,,,,,,1.03
Kepler-454 b,1,2,3,10.5737534,0.09528,2.37,0.211,5.4,0.01699,0,2.23,1.03
Kepler-453 b,1,2,1,240.503,0.7903,6.204,0.553,16.0,0.05034,1,,0.94
Kepler-452 b,1,1,1,384.843,1.046,1.63,0.145,,,,,1.04
Kepler-451 d,1,2,3,43.0,,,,,,,,0.48
Kepler-451 c,1,2,3,1460.0,,,,,,,,0.48
Kepler-450 d,1,1,3,7.51464,,0.837,0.075,,,,,1.19
Kepler-450 c,1,1,3,15.413135,,2.62,0.234,,,,,1.19
Kepler-450 b,1,1,3,28.454851,,6.14,0.548,,,,,1.19
Kepler-45 b,1,1,1,2.455239,0.03,10.76,0.96,160.497,0.505,0,0.8,0.59
Kepler-449 c,1,1,2,33.6727,,2.764,0.247,,,,,
Kepler-449 b,1,1,2,12.58242,,2.056,0.183,,,,,
Kepler-448 c,1,1,2,2500.0,4.2,,,6992.26,22.0,0,,1.5
Kepler-447 b,1,1,1,7.79430132,0.0769,18.49,1.65,435.41,1.37,0,0.4,1.0
Kepler-446 d,1,1,3,5.148921,,1.35,0.12,,,,,0.22
Kepler-446 c,1,1,3,3.036179,,1.11,0.1,,,,,0.22
Kepler-446 b,1,1,3,1.565409,,1.5,0.13,,,,,0.22
Kepler-445 d,1,1,3,8.15275,,1.25,0.11,,,,,0.18
Kepler-445 c,1,1,3,4.871229,,2.51,0.22,,,,,0.18
Kepler-445 b,1,1,3,2.984151,,1.58,0.14,,,,,0.18
Kepler-444 f,1,3,5,9.740486,0.0811,0.741,0.066,,,,,0.76
Kepler-444 e,1,3,5,7.743493,0.0696,0.546,0.049,,,,,0.76
Kepler-444 d,1,3,5,6.189392,0.06,0.53,0.047,,,,,0.76
Kepler-444 c,1,3,5,4.5458841,0.04881,0.497,0.044,,,,,0.76
Kepler-444 b,1,3,5,3.6001053,0.04178,0.403,0.036,,,,,0.76
Kepler-443 b,1,1,1,177.6693,0.495,2.33,0.21,,,,,0.74
Kepler-442 b,1,1,1,112.3053,0.409,1.34,0.12,,,,,0.61
Kepler-441 b,1,1,1,207.2482,0.64,1.64,0.15,,,,,0.57
Kepler-440 b,1,1,1,101.11141,0.242,1.86,0.17,,,,,0.57
Kepler-44 b,1,1,1,3.2467293,0.0446,12.22,1.09,317.82,1.0,0,0.93,1.12
Kepler-439 b,1,1,1,178.1396,0.563,2.24,0.2,,,,,0.88
Kepler-438 b,1,1,1,35.23319,0.166,1.12,0.1,,,,,0.54
Kepler-437 b,1,1,1,66.65062,0.288,2.14,0.19,,,,,0.71
Kepler-436 c,1,1,2,16.79713874,,2.33,0.208,,,,,0.75
Kepler-436 b,1,1,2,64.00205,0.339,2.73,0.24,,,,,0.73
Kepler-435 b,1,1,1,8.6001536,0.0948,22.31,1.99,266.97,0.84,0,0.131,1.54
Kepler-434 b,1,1,1,12.8747099,0.1143,12.67,1.13,908.96,2.86,0,2.4,1.2
Kepler-433 b,1,1,1,5.33408384,0.0679,16.25,1.45,896.24,2.82,0,1.13,1.46
Kepler-432 c,1,2,2,406.2,,,,,,,,1.32
Kepler-432 b,1,2,2,52.501129,0.301,12.834,1.145,1719.4603,5.41,0,4.46,1.32
Kepler-431 d,1,1,3,11.922,0.1045,1.11,0.1,,,,,1.07
Kepler-431 c,1,1,3,8.703,0.0847,0.668,0.06,,,,,1.07
Kepler-431 b,1,1,3,6.803,0.0719,0.764,0.068,,,,,1.07
Kepler-430 c,1,1,2,110.979,0.4757,1.75,0.16,,,,,1.17
Kepler-430 b,1,1,2,35.968,0.2244,3.25,0.29,,,,,1.17
Kepler-43 b,1,1,1,3.0240949,0.046,13.664,1.219,1026.5909,3.23,0,5.0,1.32
Kepler-428 b,1,1,1,3.52563254,0.0433,12.11,1.08,403.63,1.27,0,1.02,0.87
Kepler-427 b,1,1,1,10.290994,0.091,13.79,1.23,92.17,0.29,0,0.16,0.96
Kepler-426 b,1,1,1,3.21751883,0.0414,12.22,1.09,108.06,0.34,0,0.26,0.91
Kepler-425 b,1,1,1,3.79701816,0.0464,10.962,0.978,79.45,0.25,0,0.27,0.93
Kepler-424 c,1,1,2,223.3,0.73,,,,,,,1.01
Kepler-424 b,1,1,2,3.3118644,0.044,9.98,0.89,327.35,1.03,0,1.94,1.01
Kepler-423 b,1,1,1,2.6843285,0.03585,13.361,1.192,189.101,0.595,0,0.459,0.85
Kepler-422 b,1,1,1,7.8914483,0.082,12.89,1.15,136.66,0.43,0,0.38,1.15
Kepler-421 b,1,1,1,704.1984,1.219,4.16,0.371,,,,,0.79
Kepler-42 d,1,1,3,1.865169,0.0154,0.57,0.051,,,,,0.13
Kepler-42 c,1,1,3,0.45328509,0.006,0.73,0.065,,,,,0.13
